num_requests,avg_interval,std_dev_interval,unique_endpoints,honeypot_hit_ratio,label
42,3.681711586510263,11.88472942717844,10,0.19047619047619047,1
25,5.208921790122986,13.515423433363173,8,0.08,1
37,3.580881337324778,14.324614286088467,9,0.35135135135135137,1
16,9.181835508346557,21.3946131820676,7,0.25,1
3,0.10522544384002686,0.05408839939318266,3,0.0,0
25,2.994963755210241,11.370490282392002,9,0.44,1
13,11.74036149183909,29.306568071565994,8,0.3076923076923077,1
18,7.272423884447883,17.15181660343977,10,0.3333333333333333,1
28,5.337838879338017,14.805382312514125,10,0.35714285714285715,1
31,3.583925501505534,10.493203752582476,10,0.3225806451612903,1
9,16.07326313853264,45.065888008490674,7,0.3333333333333333,1
11,1.7075361013412476,4.950980645640889,7,0.45454545454545453,1
26,4.4468385696411135,14.748855900134755,9,0.5769230769230769,1
27,5.216686230439406,13.7463463202584,9,0.48148148148148145,1
51,2.8086994791030886,8.449160893413852,10,0.2549019607843137,1
22,4.778068281355358,10.268779689956824,8,0.18181818181818182,1
25,1.4416475892066956,4.964222341492007,10,0.16,1
25,3.2630888720353446,7.70329803197446,10,0.4,1
40,3.4730571722372985,10.047804681895453,10,0.325,1
24,2.041121824927952,7.6372865001531425,9,0.25,1
13,5.451347192128499,18.37819422724716,8,0.5384615384615384,1
19,5.356120997005039,16.239504348918267,9,0.3157894736842105,1
50,2.684450675030144,9.398643164191824,10,0.34,1
32,4.226434938369259,12.598984455482679,10,0.1875,1
26,4.988822164535523,12.066884974267229,9,0.34615384615384615,1
7,0.11969661712646484,0.052202371526052,5,0.42857142857142855,1
5,26.187401235103607,52.150504998135034,4,0.2,1
29,4.186233648232052,12.32573248994421,10,0.3448275862068966,1
29,2.7557748215539113,11.017451559008224,9,0.27586206896551724,1
3,1.8047219514846802,2.3958236108480655,3,0.3333333333333333,1
18,1.4094140529632568,3.6167547191284863,10,0.3333333333333333,1
35,3.381469088442185,9.48948834682052,10,0.2,1
22,2.843156235558646,11.113420201354401,8,0.3181818181818182,1
16,4.363792403539022,16.427197600809137,8,0.0625,1
31,3.4769175052642822,9.849577777570525,9,0.3225806451612903,1
20,2.838323944493344,10.762608754494872,9,0.2,1
29,3.3767079540661404,11.46218997613547,9,0.27586206896551724,1
1,0,0,1,1.0,1
26,3.3274094009399415,15.863089370399852,10,0.38461538461538464,1
18,4.416774721706615,13.92589370337089,9,0.2222222222222222,1
12,4.382580973885276,14.088934660245979,5,0.5833333333333334,1
9,10.871629893779755,22.23794375020077,6,0.2222222222222222,1
27,2.663437843322754,7.378814274367514,10,0.3333333333333333,1
15,2.4333556379590715,8.556243110596052,7,0.2,1
25,1.416033536195755,5.943307794932781,10,0.36,1
25,1.3631792565186818,5.082466017478613,9,0.24,1
26,0.9904662418365479,2.9363742435640856,9,0.19230769230769232,1
2,0.0944509506225586,0,2,0.5,1
5,0.1351131796836853,0.04332707305964938,4,0.0,0
